,Max velocity (m/s),Mean velocity (m/s),Velocity Std Dev (m/s),Total Distance (m),Mean Acceleration (m/s^2),Max Acceleration (m/s^2),Acceleration Std Dev (m/s^2),Time Spent Accelerating (s),Time Spent Decelerating (s),Max Deceleration (m/s^2),Mean Deceleration (m/s^2),Number of velocity Peaks,Average velocity During Peaks (m/s),Time Spent Constant Velocity(s),Time_to_max_velocity (s),Time_to_mean_velocity (s),End Velocity (m/s),Time_to_half_velocity (s),Median_acceleration (m/s^2),Median_deceleration (m/s^2),Mini_trip,Relative_SOC_drop (%),Driver_Type_Aggressive,Driver_Type_Normal,Method_No Rest,Method_Rest and Charge,Terrain_Downhill,Terrain_Flat Plane,Terrain_Uphill,Drive_position_No Rest-1,Drive_position_No Rest-2,Drive_position_No Rest-3,Drive_position_No Rest-4,Drive_position_Rest and Charge_1,Drive_position_Rest and Charge_2,Drive_position_Rest and Charge_3,Cell_number_1,Cell_number_2,Cell_number_3
0,23.57142857142857,22.6984126984127,0.8730158730158699,778.231292517004,0.05092592592592593,0.05092592592592601,1.2276156489239667e-16,0.0,0.0,0.05092592592592584,,0,,0.0,342.8571428571428,325.7142857142857,23.57142857142857,308.5714285714286,0.05092592592592593,,1,62.38790237838313,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
1,24.02116402116402,23.968253968253965,0.052910052910053906,821.7687074829902,0.003086419753086489,0.003086419753086691,2.858058928697809e-16,0.0,0.0,0.003086419753086287,,0,,34.285714285714164,342.8571428571428,325.7142857142857,24.02116402116402,308.5714285714286,0.003086419753086489,,2,79.7445420960517,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
2,22.81746031746032,22.57936507936508,0.2380952380952408,774.1496598639428,0.013888888888889096,0.013888888888889119,3.189250306701418e-17,0.0,0.0,0.013888888888889074,,0,,0.0,342.8571428571428,325.7142857142857,22.81746031746032,308.5714285714286,0.013888888888889096,,3,70.66324365041474,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
3,23.51190476190476,23.31349206349206,0.19841269841269948,799.3197278911535,-0.011574074074074178,-0.011574074074074158,2.6985964133627383e-17,0.0,0.0,-0.011574074074074197,-0.011574074074074178,0,,0.0,308.5714285714286,325.7142857142857,23.11507936507936,308.5714285714286,-0.011574074074074178,-0.011574074074074178,4,74.70740947435766,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False
4,23.57142857142857,22.6984126984127,0.8730158730158699,778.231292517004,0.05092592592592593,0.05092592592592601,1.2276156489239667e-16,0.0,0.0,0.05092592592592584,,0,,0.0,342.8571428571428,325.7142857142857,23.57142857142857,308.5714285714286,0.05092592592592593,,5,59.21002015962371,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False
5,24.02116402116402,23.968253968253965,0.052910052910053906,821.7687074829902,0.003086419753086489,0.003086419753086691,2.858058928697809e-16,0.0,0.0,0.003086419753086287,,0,,34.285714285714164,342.8571428571428,325.7142857142857,24.02116402116402,308.5714285714286,0.003086419753086489,,6,75.65597436830411,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
6,22.81746031746032,22.57936507936508,0.2380952380952408,774.1496598639428,0.013888888888889096,0.013888888888889119,3.189250306701418e-17,0.0,0.0,0.013888888888889074,,0,,0.0,342.8571428571428,325.7142857142857,22.81746031746032,308.5714285714286,0.013888888888889096,,7,67.06187579874057,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
7,23.51190476190476,23.31349206349206,0.19841269841269948,799.3197278911535,-0.011574074074074178,-0.011574074074074158,2.6985964133627383e-17,0.0,0.0,-0.011574074074074197,-0.011574074074074178,0,,0.0,308.5714285714286,325.7142857142857,23.11507936507936,308.5714285714286,-0.011574074074074178,-0.011574074074074178,8,72.00879329740152,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False
8,23.57142857142857,22.6984126984127,0.8730158730158699,778.231292517004,0.05092592592592593,0.05092592592592601,1.2276156489239667e-16,0.0,0.0,0.05092592592592584,,0,,0.0,342.8571428571428,325.7142857142857,23.57142857142857,308.5714285714286,0.05092592592592593,,9,62.60130746060244,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
9,24.02116402116402,23.968253968253965,0.052910052910053906,821.7687074829902,0.003086419753086489,0.003086419753086691,2.858058928697809e-16,0.0,0.0,0.003086419753086287,,0,,34.285714285714164,342.8571428571428,325.7142857142857,24.02116402116402,308.5714285714286,0.003086419753086489,,10,80.86946016577123,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
10,22.81746031746032,22.57936507936508,0.2380952380952408,774.1496598639428,0.013888888888889096,0.013888888888889119,3.189250306701418e-17,0.0,0.0,0.013888888888889074,,0,,0.0,342.8571428571428,325.7142857142857,22.81746031746032,308.5714285714286,0.013888888888889096,,11,71.27286133487625,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
11,23.51190476190476,23.31349206349206,0.19841269841269948,799.3197278911535,-0.011574074074074178,-0.011574074074074158,2.6985964133627383e-17,0.0,0.0,-0.011574074074074197,-0.011574074074074178,0,,0.0,308.5714285714286,325.7142857142857,23.11507936507936,308.5714285714286,-0.011574074074074178,-0.011574074074074178,12,75.77519207519124,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
12,26.0827664399093,25.572562358276645,0.5102040816326543,939.4002498958769,0.027777777777777842,0.02777777777777799,2.1098117413563228e-16,0.0,0.0,0.027777777777777693,,0,,0.0,348.9795918367347,330.6122448979592,26.0827664399093,312.2448979591837,0.027777777777777842,,13,82.94615371013656,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False
13,22.24489795918367,21.81972789115646,0.42517006802721014,801.5410245730945,0.023148148148148105,0.02314814814814814,4.906538933386797e-17,0.0,0.0,0.02314814814814807,,0,,0.0,348.9795918367347,330.6122448979592,22.24489795918367,312.2448979591837,0.023148148148148105,,14,78.79254754425334,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
14,27.61904761904762,26.190476190476193,1.4285714285714253,897.9591836734664,-0.08333333333333343,-0.08333333333333326,2.4552312978479334e-16,0.0,0.0,-0.0833333333333336,-0.08333333333333343,0,,0.0,308.5714285714286,325.7142857142857,24.76190476190477,308.5714285714286,-0.08333333333333343,-0.08333333333333343,15,75.74834216938832,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
15,25.99206349206349,25.03968253968254,0.9523809523809508,858.5034013605411,0.055555555555555663,0.05555555555555567,1.5515838457795457e-17,0.0,0.0,0.05555555555555565,,0,,0.0,342.8571428571428,325.7142857142857,25.99206349206349,308.5714285714286,0.055555555555555663,,16,78.28289497898517,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
16,26.0827664399093,25.572562358276645,0.5102040816326543,939.4002498958769,0.027777777777777842,0.02777777777777799,2.1098117413563228e-16,0.0,0.0,0.027777777777777693,,0,,0.0,348.9795918367347,330.6122448979592,26.0827664399093,312.2448979591837,0.027777777777777842,,17,77.97147199995626,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
17,22.24489795918367,21.81972789115646,0.42517006802721014,801.5410245730945,0.023148148148148105,0.02314814814814814,4.906538933386797e-17,0.0,0.0,0.02314814814814807,,0,,0.0,348.9795918367347,330.6122448979592,22.24489795918367,312.2448979591837,0.023148148148148105,,18,73.55863147374897,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
18,27.61904761904762,26.190476190476193,1.4285714285714253,897.9591836734664,-0.08333333333333343,-0.08333333333333326,2.4552312978479334e-16,0.0,0.0,-0.0833333333333336,-0.08333333333333343,0,,0.0,308.5714285714286,325.7142857142857,24.76190476190477,308.5714285714286,-0.08333333333333343,-0.08333333333333343,19,71.90914117999006,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
