Time Interval,Linear MAPE (%),KNN MAPE (%),Decision Tree MAPE (%),Random Forest MAPE (%),Gaussian Process MAPE (%),Extremely Randomized Trees MAPE (%),Neural Network MAPE (%)
300_350,11.712247295765506,12.111534222843527,14.184983133830315,10.60988000365457,30.574662396854148,10.052460149019586,33.82504193988009
300_400,12.570176836966901,10.104655781567445,9.600365022821153,11.067702127452753,5.118772944973589,10.132401423342545,16.50869876511159
300_450,11.208728954202549,9.900054858670583,7.736442399038798,9.568700905835572,8.118720787350535,8.43175063298938,16.852340605445924
300_500,11.15928845189567,6.420869200284075,6.701779442952523,7.157576772679966,5.130369360510735,7.447443565778259,21.58594527753163
300_550,13.111602570106049,6.261988904840732,6.172696751388236,6.645968027911849,11.21510645717881,8.05773634458341,12.393480588550416
300_600,13.764596145488813,6.64048092040048,12.851853101732628,9.868168140236072,6.56828684013976,8.81060960215884,7.8012490264720915
300_650,12.621886179166122,10.100432568014044,7.15586152297137,6.857857465617147,9.56786890855993,9.402542395040994,9.40606907478901
300_700,10.291581865044849,9.451136870319402,7.3624427474557805,6.626280805532528,8.492733761376556,8.893654231033912,10.096431921359112
300_750,10.41882494926237,8.708988075973943,9.918325529515954,9.921538877933699,9.257356917850391,9.673387548936986,11.385752854004084
300_800,8.677600866540132,7.4306502108597865,6.397282319699012,6.517769710550928,8.322734439669292,8.640375583323765,10.691559680524474
