time(s),current(A)
25.078,68.353
25.092,68.649
25.105,69.318
25.119,70.133
25.132,70.89
25.145,71.46
25.162,71.84
25.183,71.93
25.204,71.809
25.225,71.727
25.246,71.821
25.272,72.164
25.298,72.62
25.323,73.041
25.349,73.358
25.389,73.728
25.428,74.092
25.468,74.531
25.5,74.923
25.557,75.59
25.632,76.424
25.732,77.529
25.832,78.658
25.932,79.788
26,80.552
26.001,80.55
26.001,80.522
26.002,80.414
26.003,80.209
26.004,79.902
26.005,79.494
26.006,78.74
26.009,77.023
26.012,73.151
26.016,68.242
26.02,62.578
26.022,58.688
26.022,58.687
26.023,57.368
26.024,56.038
26.025,54.701
26.025,53.356
26.026,52.01
26.028,49.305
26.03,45.589
26.032,41.898
26.035,37.531
26.037,33.288
26.039,30.757
26.041,28.297
26.042,25.916
26.046,20.995
26.049,16.54
26.053,12.563
26.056,9.1183
26.06,6.2159
26.063,4.3208
26.066,2.7535
26.068,1.5056
26.071,0.71936
26.073,0.12998
26.075,-0.20574
26.077,-0.42419
26.078,-0.51302
26.079,-0.54084
26.08,-0.53094
26.081,-0.48444
26.082,-0.40252
26.084,-0.2341
26.086,0.075874
26.087,0.39598
26.089,0.775
26.091,1.3768
26.093,2.0705
26.095,2.8462
26.097,3.694
26.1,4.604
26.102,5.5664
26.104,6.8085
26.107,8.0975
26.11,9.4162
26.113,11.056
26.116,12.686
26.119,14.28
26.123,16.166
26.127,17.92
26.132,19.807
26.137,21.41
26.143,22.931
26.149,23.977
26.154,24.559
26.16,24.711
26.166,24.487
26.172,23.954
26.178,23.189
26.184,22.267
26.189,21.264
26.195,20.245
26.201,19.27
26.207,18.384
26.213,17.622
26.22,16.894
26.228,16.322
26.236,16.1
26.243,16.086
26.25,16.246
26.257,16.537
26.264,16.913
26.271,17.332
26.279,17.753
26.286,18.142
26.295,18.546
26.304,18.835
26.316,19.032
26.328,19.027
26.34,18.876
26.353,18.649
26.365,18.413
26.377,18.221
26.389,18.102
26.405,18.063
26.421,18.126
26.437,18.241
26.453,18.361
26.469,18.448
26.488,18.491
26.5,18.485
26.519,18.452
26.543,18.405
26.568,18.386
26.597,18.406
26.634,18.459
26.671,18.499
26.709,18.514
26.771,18.529
26.834,18.558
26.896,18.597
26.989,18.647
27,18.652
27.001,18.654
27.001,18.66
27.002,18.687
27.004,18.736
27.005,18.808
27.006,18.904
27.008,19.107
27.012,19.741
27.017,20.871
27.022,22.257
27.028,23.802
27.033,25.414
27.038,27.011
27.044,28.524
27.049,29.895
27.054,31.081
27.061,32.305
27.07,33.304
27.079,33.67
27.087,33.554
27.094,33.15
27.101,32.544
27.109,31.822
27.116,31.067
27.123,30.346
27.131,29.714
27.139,29.123
27.15,28.686
27.161,28.548
27.171,28.661
27.182,28.95
27.193,29.328
27.203,29.717
27.214,30.051
27.225,30.293
27.239,30.451
27.256,30.431
27.273,30.269
27.291,30.078
27.308,29.941
27.325,29.898
27.349,29.964
27.372,30.097
27.395,30.216
27.418,30.277
27.449,30.286
27.479,30.27
27.5,30.272
27.532,30.312
27.584,30.408
27.637,30.489
27.689,30.546
27.741,30.607
27.741,30.607
27.777,30.596
27.814,30.608
27.86,30.66
27.96,30.801
28,30.863
28,30.866
28.001,30.873
28.001,30.898
28.002,30.947
28.002,31.023
28.003,31.128
28.004,31.313
28.005,31.652
28.006,32.259
28.008,33.326
28.011,35.266
28.014,38.336
28.017,42.017
28.021,46.194
28.024,50.755
28.027,55.593
28.03,60.602
28.035,66.796
28.039,72.925
28.043,79.707
28.048,85.983
28.052,91.579
28.058,97.295
28.065,102.37
28.072,105.43
28.079,106.59
28.085,106.07
28.092,104.21
28.099,101.4
28.106,98.012
28.113,94.42
28.119,90.933
28.126,87.794
28.133,85.177
28.14,83.184
28.149,81.504
28.159,81.019
28.168,81.535
28.178,82.778
28.187,84.438
28.197,86.217
28.206,87.866
28.216,89.206
28.227,90.275
28.242,90.805
28.257,90.542
28.273,89.86
28.288,89.139
28.303,88.654
28.318,88.529
28.339,88.856
28.359,89.499
28.38,90.154
28.401,90.621
28.421,90.858
28.45,90.99
28.479,91.114
28.5,91.287
28.532,91.694
28.574,92.293
28.616,92.815
28.668,93.36
28.738,94.114
28.808,94.928
28.908,96.09
29,97.138
29.001,97.133
29.002,97.093
29.003,96.931
29.004,96.631
29.005,96.189
29.006,95.611
29.008,94.416
29.013,90.493
29.017,85.309
29.022,79.247
29.026,72.664
29.031,65.876
29.034,60.57
29.034,60.57
29.034,60.57
29.035,59.215
29.036,57.874
29.037,56.548
29.038,55.241
29.039,53.947
29.041,51.524
29.043,48.086
29.047,43.766
29.051,38.6
29.056,34.079
29.061,30.47
29.065,28.269
29.069,26.639
29.073,25.557
29.077,24.992
29.08,24.904
29.084,25.246
29.088,25.968
29.092,27.015
29.096,28.332
29.1,30.185
29.105,32.247
29.11,34.424
29.114,36.631
29.119,38.786
29.124,40.822
29.124,41.108
29.124,41.108
29.127,41.967
29.129,42.773
29.131,43.522
29.133,44.231
29.137,45.406
29.143,46.791
29.152,47.898
29.161,48.145
29.168,47.797
29.175,47.077
29.182,46.108
29.189,45.015
29.196,43.907
29.203,42.874
29.21,41.986
29.219,41.163
29.229,40.576
29.24,40.434
29.25,40.653
29.261,41.115
29.272,41.69
29.282,42.259
29.293,42.736
29.303,43.066
29.318,43.266
29.332,43.224
29.347,43.034
29.361,42.799
29.376,42.605
29.39,42.501
29.41,42.512
29.43,42.645
29.45,42.816
29.469,42.954
29.494,43.038
29.5,43.045
29.521,43.044
29.555,43.043
29.59,43.092
29.631,43.206
29.684,43.347
29.736,43.454
29.812,43.593
29.908,43.792
30,43.99
30.001,43.985
30.002,43.962
30.004,43.889
30.006,43.764
30.007,43.591
30.01,43.256
30.016,42.187
30.022,40.81
30.027,39.253
30.033,37.636
30.034,37.463
30.034,37.463
30.034,37.463
30.036,36.855
30.038,36.263
30.041,35.692
30.043,35.145
30.045,34.617
30.049,33.695
30.056,32.471
30.065,31.332
30.073,30.717
30.082,30.589
30.09,30.863
30.099,31.43
30.108,32.169
30.116,32.966
30.125,33.72
30.127,33.849
30.127,33.849
30.131,34.175
30.136,34.446
30.141,34.663
30.145,34.842
30.154,35.044
30.168,35.073
30.183,34.81
30.197,34.418
30.212,34.048
30.226,33.798
30.241,33.707
30.26,33.785
30.279,33.986
30.298,34.192
30.317,34.325
30.336,34.364
30.363,34.321
30.39,34.256
30.417,34.241
30.444,34.286
30.482,34.382
30.5,34.423
30.532,34.465
30.593,34.51
30.653,34.566
30.714,34.645
30.814,34.769
30.914,34.882
31,34.979
31.001,34.975
31.002,34.96
31.003,34.903
31.003,34.898
31.003,34.898
31.004,34.767
31.005,34.589
31.006,34.368
31.007,34.105
31.008,33.813
31.011,33.109
31.015,31.476
31.02,29.044
31.025,26.882
31.029,24.601
31.033,22.282
31.037,19.996
31.041,17.802
31.045,15.751
31.049,13.884
31.053,12.233
31.057,10.817
31.061,9.6497
31.065,8.891
31.068,8.2972
31.071,7.8641
31.075,7.5853
