time (s),Max Speed (m/s),Mean Speed (m/s),Speed Std Dev (m/s),Total Distance (m),Mean Acceleration (m/s^2),Max Acceleration (m/s^2),Min Acceleration (m/s^2),Acceleration Std Dev (m/s^2),Time Spent Accelerating (s),Time Spent Decelerating (s),Max Deceleration (m/s^2),Mean Deceleration (m/s^2),Number of Speed Peaks,Average Speed During Peaks (m/s),Distance Covered During Peaks (m),Max Speed Drop (m/s),Duration of Speed Drops (s),Speed Variance (m^2/s^2),Number of Accelerations,Number of Decelerations,Total Velocity Drop(m/s),Total Velocity Drop time (s),Velocity drop per unit time (m/s^2),SOC_drop (%)
840.0,24.44444444444445,17.249126984126985,6.950897011028316,14608.775510204081,0.024470899470899487,0.1666666666666666,-0.13657407407407346,0.06843917779281011,548.5714285714286,291.42857142857144,-0.13657407407407346,-0.05235566448801741,3,23.46560846560847,1105.7142857142858,-2.341269841269842,291.42857142857144,48.314969257922385,32,17,11.964285714285722,240.0,0.04985119047619051,-1.714186707407667
840.0,29.23015873015873,20.384338624338625,8.074757763954128,17255.623582766442,0.030092592592592605,0.07962962962963012,-0.14274691358024577,0.04812778204385377,754.2857142857142,85.71428571428571,-0.14274691358024577,-0.07466049382716027,2,26.81084656084656,617.1428571428571,-2.447089947089939,85.71428571428571,65.20171294653748,44,5,2.447089947089939,17.142857142857224,0.14274691358024577,-2.191082386779
840.0,24.58333333333334,18.58325396825397,6.860774376210289,15733.26530612245,0.027116402116402125,0.08055555555555625,-0.06620370370370388,0.04584942996586783,582.8571428571429,205.71428571428572,-0.06620370370370388,-0.03223379629629634,3,23.70502645502646,839.9999999999999,-1.1349206349206433,205.71428571428572,47.070225041263676,34,12,4.825396825396833,85.71428571428584,0.05629629629629631,-1.9415621995622776
840.0,29.44444444444445,19.446031746031746,7.584416294937328,16427.551020408162,0.03339947089947093,0.25231481481481555,-0.11111111111111155,0.06793383362739507,497.1428571428571,342.85714285714283,-0.11111111111111155,-0.032812499999999994,3,25.787037037037038,917.142857142857,-1.9047619047619087,342.85714285714283,57.52337053491087,29,20,11.250000000000007,342.8571428571429,0.032812500000000015,-2.0526807823912034
840.0,24.44444444444445,17.249126984126985,6.950897011028316,14608.775510204081,0.024470899470899487,0.1666666666666666,-0.13657407407407346,0.06843917779281011,548.5714285714286,291.42857142857144,-0.13657407407407346,-0.05235566448801741,3,23.46560846560847,1105.7142857142858,-2.341269841269842,291.42857142857144,48.314969257922385,32,17,11.964285714285722,240.0,0.04985119047619051,-1.6268703648246845
840.0,29.23015873015873,20.384338624338625,8.074757763954128,17255.623582766442,0.030092592592592605,0.07962962962963012,-0.14274691358024577,0.04812778204385377,754.2857142857142,85.71428571428571,-0.14274691358024577,-0.07466049382716027,2,26.81084656084656,617.1428571428571,-2.447089947089939,85.71428571428571,65.20171294653748,44,5,2.447089947089939,17.142857142857224,0.14274691358024577,-2.07874380535445
840.0,24.58333333333334,18.58325396825397,6.860774376210289,15733.26530612245,0.027116402116402125,0.08055555555555625,-0.06620370370370388,0.04584942996586783,582.8571428571429,205.71428571428572,-0.06620370370370388,-0.03223379629629634,3,23.70502645502646,839.9999999999999,-1.1349206349206433,205.71428571428572,47.070225041263676,34,12,4.825396825396833,85.71428571428584,0.05629629629629631,-1.8426100523593891
840.0,29.44444444444445,19.446031746031746,7.584416294937328,16427.551020408162,0.03339947089947093,0.25231481481481555,-0.11111111111111155,0.06793383362739507,497.1428571428571,342.85714285714283,-0.11111111111111155,-0.032812499999999994,3,25.787037037037038,917.142857142857,-1.9047619047619087,342.85714285714283,57.52337053491087,29,20,11.250000000000007,342.8571428571429,0.032812500000000015,-1.9785328818755363
840.0,24.44444444444445,17.249126984126985,6.950897011028316,14608.775510204081,0.024470899470899487,0.1666666666666666,-0.13657407407407346,0.06843917779281011,548.5714285714286,291.42857142857144,-0.13657407407407346,-0.05235566448801741,3,23.46560846560847,1105.7142857142858,-2.341269841269842,291.42857142857144,48.314969257922385,32,17,11.964285714285722,240.0,0.04985119047619051,-1.7200502825766941
840.0,29.23015873015873,20.384338624338625,8.074757763954128,17255.623582766442,0.030092592592592605,0.07962962962963012,-0.14274691358024577,0.04812778204385377,754.2857142857142,85.71428571428571,-0.14274691358024577,-0.07466049382716027,2,26.81084656084656,617.1428571428571,-2.447089947089939,85.71428571428571,65.20171294653748,44,5,2.447089947089939,17.142857142857224,0.14274691358024577,-2.2219909368107134
840.0,24.58333333333334,18.58325396825397,6.860774376210289,15733.26530612245,0.027116402116402125,0.08055555555555625,-0.06620370370370388,0.04584942996586783,582.8571428571429,205.71428571428572,-0.06620370370370388,-0.03223379629629634,3,23.70502645502646,839.9999999999999,-1.1349206349206433,205.71428571428572,47.070225041263676,34,12,4.825396825396833,85.71428571428584,0.05629629629629631,-1.9583122182592778
840.0,29.44444444444445,19.446031746031746,7.584416294937328,16427.551020408162,0.03339947089947093,0.25231481481481555,-0.11111111111111155,0.06793383362739507,497.1428571428571,342.85714285714283,-0.11111111111111155,-0.032812499999999994,3,25.787037037037038,917.142857142857,-1.9047619047619087,342.85714285714283,57.52337053491087,29,20,11.250000000000007,342.8571428571429,0.032812500000000015,-2.082019462984259
900.0,26.7828798185941,19.755026455026453,7.163617253770003,17907.67735665695,0.02839506172839508,0.08240740740740794,-0.021990740740741324,0.04299801099706235,606.1224489795919,293.8775510204082,-0.021990740740741324,-0.018489583333333316,2,24.886148904006046,569.3877551020408,-0.403911564625858,293.8775510204082,51.317412158511274,33,16,5.433673469387752,293.87755102040825,0.01848958333333332,-2.2790507245804625
