Cars,Energy_consumption(Wh/kms),Battery arrangement,Cells in series,Cells in parallel,Nominal voltage,Power coeff,Current coeff,Single cell volts.
Peugeot e-308 SW,169,102s1p,102,1,377,2.666462943,0.7214302922,3.696078431
DS 3 E-Tense,169,102s1p,102,1,377,2.666462943,0.7214302922,3.696078431
Mercedes EQE 300,170,90s4p,90,4,328,0.7599682351,0.2085278694,3.644444444
Tesla Model S Plaid,170,110s72p,110,72,407,0.03454401069,0.009336219105,3.7
Mercedes EQB 250+,170,100s3p,100,3,367,0.9119618821,0.2484909761,3.67
BYD SEAL 82.5 kWh AWD Excellence,170,172s1p,172,1,550,1.59063119,0.4974337539,3.197674419
BMW iX1 xDrive30,170,,,,286,#DIV/0!,#DIV/0!,#DIV/0!
Mini Countryman E,170,,,,286,#DIV/0!,#DIV/0!,#DIV/0!
BMW iX2 xDrive30,170,,,,286,#DIV/0!,#DIV/0!,#DIV/0!
Kia e-Soul 39.2 kWh,170,90s2p,90,2,327,1.51993647,0.4183311386,3.633333333
Skoda Enyaq 60,171,108s2p,108,2,400,1.274064394,0.3439973864,3.703703704
Mercedes EQS 450+,171,108s4p,108,4,396,0.6370321971,0.1737360537,3.666666667
Mercedes EQE 350+,171,90s4p,90,4,328,0.7644386365,0.2097545039,3.644444444
BMW i5 eDrive40 Sedan,171,108s3p,108,3,400,0.8493762628,0.2293315909,3.703703704
Porsche Taycan 4S,171,168s2p,168,2,615,0.8190413962,0.2237381375,3.660714286
CUPRA Tavascan Endurance,171,96s3p,96,3,350,0.9555482956,0.2620932468,3.645833333
CUPRA Born 170 kW - 77 kWh,171,96s3p,96,3,350,0.9555482956,0.2620932468,3.645833333
MG MG5 Electric Long Range,171,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MG MG4 Electric 64 kWh,171,104s1p,104,1,400,2.646133742,0.6879947728,3.846153846
Aiways U6,171,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Peugeot e-2008 50 kWh,171,108s2p,108,2,400,1.274064394,0.3439973864,3.703703704
Lucid Air Dream Edition R,172,220s30p,220,30,799,0.04194049298,0.01154807066,3.631818182
Tesla Model Y Long Range Dual Motor,172,96s46p,96,46,357,0.062682802,0.01685587953,3.71875
Porsche Taycan Plus,173,198s2p,198,2,725,0.7030722175,0.192011447,3.661616162
Mercedes EQE 350,173,90s4p,90,4,328,0.7733794393,0.212207773,3.644444444
Volvo EX30 Single Motor ER,173,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Kia e-Soul 64 kWh,173,98s3p,98,3,356,0.9469952318,0.2606896986,3.632653061
Nissan Leaf e+,174,96s3p,96,3,350,0.9723123008,0.2666913739,3.645833333
MG MG5 Electric Standard Range,174,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Porsche Taycan 4S Plus,174,198s2p,198,2,725,0.7071362188,0.1931213397,3.661616162
ORA Funky Cat 63 kWh,174,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mercedes EQE 350 4MATIC,175,90s4p,90,4,328,0.782320242,0.214661042,3.644444444
ORA Funky Cat 48 kWh,175,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Smart #3 Premium,175,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Smart #3 Pro+,175,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mini Countryman SE ALL4,175,,,,286,#DIV/0!,#DIV/0!,#DIV/0!
Volvo EX30 Single Motor,175,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Skoda Enyaq 85x,175,96s3p,96,3,350,0.9779003025,0.268224083,3.645833333
MG MG4 Electric 77 kWh,175,104s1p,104,1,400,2.708031607,0.7040882178,3.846153846
Mini Cooper SE Convertible,175,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Opel Mokka-e 54 kWh,175,102s1p,102,1,377,2.761130266,0.7470432019,3.696078431
Polestar 2 Long Range Dual Motor,176,108s3p,108,3,400,0.874211826,0.236037193,3.703703704
Polestar 2 Long Range Performance,176,108s3p,108,3,400,0.874211826,0.236037193,3.703703704
Citroen e-C3,176,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BYD DOLPHIN 44.9 kWh Active,176,104s1p,104,1,333,2.723506073,0.8505844794,3.201923077
BYD DOLPHIN 44.9 kWh Boost,176,104s1p,104,1,333,2.723506073,0.8505844794,3.201923077
NIO ET7 75 kWh,176,118s1p,118,1,386,2.400378234,0.7337943825,3.271186441
Mazda MX-30,176,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Audi Q4 Sportback e-tron 45,177,96s3p,96,3,350,0.989076306,0.2712895011,3.645833333
Skoda Enyaq RS,177,96s3p,96,3,350,0.989076306,0.2712895011,3.645833333
Volkswagen ID.4 Pro,177,96s3p,96,3,350,0.989076306,0.2712895011,3.645833333
Kia EV6 Standard Range 2WD,177,144s2p,144,2,523,0.989076306,0.272326937,3.631944444
Smart #3 Pro,177,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Zeekr 001 Long Range RWD,177,102s2p,102,2,370,1.39634302,0.3849378056,3.62745098
Lucid Air Dream Edition P,177,220s30p,220,30,799,0.04315969335,0.01188377038,3.631818182
Mercedes EQS 450 4MATIC,178,108s4p,108,4,396,0.6631095385,0.180848056,3.666666667
Volvo EX30 Twin Motor Performance,178,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Zeekr X Long Range RWD,178,,,,,#DIV/0!,#DIV/0!,#DIV/0!
XPENG P7 Wing Edition,178,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BYD DOLPHIN 60.4 kWh,178,126s1p,126,1,403,2.273518418,0.7108270983,3.198412698
Opel Mokka-e 50 kWh,178,108s2p,108,2,400,1.326219077,0.3580791508,3.703703704
NIO ET7 100 kWh,178,96s1p,96,1,358,2.983992923,0.8001768733,3.729166667
NIO ET5 75 kWh,178,96s1p,96,1,358,2.983992923,0.8001768733,3.729166667
CUPRA Tavascan VZ,179,96s3p,96,3,350,1.000252309,0.2743549192,3.645833333
Volkswagen ID.5 GTX,179,96s3p,96,3,350,1.000252309,0.2743549192,3.645833333
