Total Acceleration,Total Decceleration,Number of brakes,Total Distance,Avg. Velocity,Total Time
2.0891203703703716,-0.8900462962962962,3,14608.775510204081,17.249126984126985,840.0
1.8478395061728377,-0.37330246913580134,2,17255.623582766442,20.384338624338625,840.0
1.7155092592592602,-0.386805555555556,3,15733.26530612245,18.58325396825397,840.0
2.2928240740740753,-0.6562499999999999,3,16427.551020408162,19.446031746031746,840.0
1.6871913580246913,-0.29583333333333306,2,17907.67735665695,19.755026455026453,900.0
2.4824074074074094,-1.287654320987655,5,17977.665556018324,19.79512471655329,900.0
1.6921296296296302,-0.37962962962962987,1,16642.517006802722,19.641269841269843,840.0
1.7878086419753096,-0.6211419753086425,2,16907.482993197278,19.925396825396827,840.0
0.8595446950710108,-0.03571428571428548,1,19448.275420955553,16.910359572400388,1140.0
1.9629629629629646,-0.6320987654320991,5,17952.311536859637,19.792517006802722,900.0
2.3382716049382735,-1.0376543209876552,4,17513.1195335277,19.30873015873016,900.0
2.1012345679012374,-0.7703703703703717,6,17535.61016243232,19.338775510204083,900.0
2.2845679012345688,-0.9234567901234563,4,18256.455643481884,20.129251700680275,900.0
1.782613168724281,-0.5576131687242794,3,17389.542551714563,19.160279667422525,900.0
2.832098765432101,-0.9870370370370373,5,17781.445231153684,19.70090702947846,900.0
2.265432098765434,-0.9799382716049405,7,18070.595585172847,19.912981859410433,900.0
